CUSTOMERS
101
CAPACITY
200
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
0      40         50          0          0       1236          0   
1      45         68         10        912        967         10
2      45         70         30        825        870         10
3      42         66         10         65        146         10
4      42         68         10        727        782         10
5      42         65         10         15         67         10
6      40         69         20        621        702         10
7      40         66         20        170        225         10
8      38         68         20        255        324         10
9      38         70         10        534        605         10
10      35         66         10        357        410         10
11      35         69         10        448        505         10
12      25         85         20        652        721         10
13      22         75         30         30         92         10
14      22         85         10        567        620         10
15      20         80         40        384        429         10
16      20         85         40        475        528         10
17      18         75         20         99        148         10
18      15         75         20        179        254         10
19      15         80         10        278        345         10
20      30         50         10         10         73         10
21      30         52         20        914        965         10
22      28         52         20        812        883         10
23      28         55         10        732        777         10
24      25         50         10         65        144         10
25      25         52         40        169        224         10
26      25         55         10        622        701         10
27      23         52         10        261        316         10
28      23         55         20        546        593         10
29      20         50         10        358        405         10
30      20         55         10        449        504         10
31      10         35         20        200        237         10
32      10         40         30         31        100         10
33       8         40         40         87        158         10
34       8         45         20        751        816         10
35       5         35         10        283        344         10
36       5         45         10        665        716         10
37       2         40         20        383        434         10
38       0         40         30        479        522         10
39       0         45         20        567        624         10
40      35         30         10        264        321         10
41      35         32         10        166        235         10
42      33         32         20         68        149         10
43      33         35         10         16         80         10
44      32         30         10        359        412         10
45      30         30         10        541        600         10
46      30         32         30        448        509         10
47      30         35         10       1054       1127         10
48      28         30         10        632        693         10
49      28         35         10       1001       1066         10
50      26         32         10        815        880         10
51      25         30         10        725        786         10
52      25         35         10        912        969         10
53      44          5         20        286        347         10
54      42         10         40        186        257         10
55      42         15         10         95        158         10
56      40          5         30        385        436         10
57      40         15         40         35         87         10
58      38          5         30        471        534         10
59      38         15         10        651        740         10
60      35          5         20        562        629         10
61      50         30         10        531        610         10
62      50         35         20        262        317         10
63      50         40         50        171        218         10
64      48         30         10        632        693         10
65      48         40         10         76        129         10
66      47         35         10        826        875         10
67      47         40         10         12         77         10
68      45         30         10        734        777         10
69      45         35         10        916        969         10
70      95         30         30        387        456         10
71      95         35         20        293        360         10
72      53         30         10        450        505         10
73      92         30         10        478        551         10
74      53         35         50        353        412         10
75      45         65         20        997       1068         10
76      90         35         10        203        260         10
77      88         30         10        574        643         10
78      88         35         20        109        170         10
79      87         30         10        668        731         10
80      85         25         10        769        820         10
81      85         35         30         47        124         10
82      75         55         20        369        420         10
83      72         55         10        265        338         10
84      70         58         20        458        523         10
85      68         60         30        555        612         10
86      66         55         10        173        238         10
87      65         55         20         85        144         10
88      65         60         30        645        708         10
89      63         58         10        737        802         10
90      60         55         10         20         84         10
91      60         60         10        836        889         10
92      67         85         20        368        441         10
93      65         85         40        475        518         10
94      65         82         10        285        336         10
95      62         80         30        196        239         10
96      60         80         10         95        156         10
97      60         85         30        561        622         10
98      58         75         20         30         84         10
99      55         80         10        743        820         10
100      55         85         20        647        726         10
